year,income,total_output_value,industrial_added_value1,industrial_added_value2,industrial_added_value3,avg_value,year2
2018,896915.6,900309.5,64734.0,366000.9,469574.6,64644,20180
2017,820099.5,820754.3,62099.5,332742.7,425912.1,59201,20170
2016,737074.0,740060.8,60139.2,296547.7,383373.9,53680,20160
2015,683390.5,685992.9,57774.6,282040.3,346178.0,50028,20150
2014,642097.6,641280.6,55626.3,277571.8,308082.5,47005,20140
2013,588141.2,592963.2,53028.1,261956.1,277979.1,43684,20130
2012,537329.0,538580.0,49084.5,244643.3,244852.2,39874,20120
2011,483392.8,487940.2,44781.4,227038.8,216120.0,36302,20110
2010,410354.1,412119.3,38430.8,191629.8,182058.6,30808,20100
2009,347934.9,348517.7,33583.8,160171.7,154762.2,26180,20090
2008,321229.5,319244.6,32464.1,149956.6,136823.9,24100,20080
2007,270704.0,270092.3,27674.1,126633.6,115784.6,20494,20070
2006,219028.5,219438.5,23317.0,104361.8,91759.7,16738,20060
2005,185998.9,187318.9,21806.7,88084.4,77427.8,14368,20050
2004,161415.4,161840.2,20904.3,74286.9,66648.9,12487,20040
2003,136576.3,137422.0,16970.2,62697.4,57754.4,10666,20030
2002,120480.4,121717.4,16190.2,54105.5,51421.7,9506,20020
2001,109276.2,110863.1,15502.5,49660.7,45700.0,8717,20010
2000,99066.1,100280.1,14717.4,45664.8,39897.9,7942,20000
1999,89366.5,90564.4,14549.0,41080.9,34934.5,7229,19990
1998,83817.6,85195.5,14618.7,39018.5,31558.3,6860,19980
1997,78802.9,79715.0,14265.2,37546.0,27903.8,6481,19970
1996,70779.6,71813.6,13878.3,33828.1,24107.2,5898,19960
1995,60356.6,61339.9,12020.5,28677.5,20641.9,5091,19950
1994,48548.2,48637.5,9471.8,22453.1,16712.5,4081,19940
1993,35599.2,35673.2,6887.6,16473.1,12312.6,3027,19930
1992,27208.2,27194.5,5800.3,11725.3,9668.9,2334,19920
1991,22050.3,22005.6,5288.8,9129.8,7587.0,1912,19910
1990,18923.3,18872.9,5017.2,7744.3,6111.4,1663,19900
1989,17188.4,17179.7,4228.2,7300.9,5650.6,1536,19890
1988,15174.4,15180.4,3831.2,6607.4,4741.8,1378,19880
1987,12166.6,12174.6,3204.5,5274.0,3696.2,1123,19870
1986,10375.4,10376.2,2764.1,4515.2,3096.9,973,19860
1985,9123.6,9098.9,2541.7,3886.5,2670.7,866,19850
1984,7314.2,7278.5,2295.6,3124.8,1858.1,702,19840
1983,6043.8,6020.9,1960.9,2663.0,1397.0,588,19830
1982,5380.5,5373.4,1761.7,2397.7,1214.0,533,19820
1981,4933.7,4935.8,1545.7,2269.1,1121.1,497,19810
1980,4587.6,4587.6,1359.5,2204.7,1023.4,468,19800
1979,4100.5,4100.5,1259.0,1925.4,916.1,423,19790
1978,3678.7,3678.7,1018.5,1755.2,905.1,385,19780
1977,3250.0,3250.0,942.2,1517.8,790.0,344,19770
1976,2988.6,2988.6,967.1,1346.0,675.5,321,19760
1975,3039.5,3039.5,971.2,1378.7,689.6,332,19750
1974,2827.7,2827.7,945.2,1199.8,682.7,314,19740
1973,2756.2,2756.2,907.5,1180.4,668.3,313,19730
1972,2552.4,2552.4,827.4,1091.6,633.3,296,19720
1971,2456.9,2456.9,826.3,1029.9,600.6,292,19710
1970,2279.7,2279.7,793.3,918.1,568.3,279,19700
1969,1962.2,1962.2,736.2,695.0,531.0,247,19690
1968,1744.1,1744.1,726.3,542.6,475.2,225,19680
1967,1794.2,1794.2,714.2,608.0,472.0,238,19670
1966,1888.7,1888.7,702.2,715.4,471.0,257,19660
1965,1734.0,1734.0,651.1,608.5,474.4,242,19650
1964,1469.9,1469.9,559.0,519.3,391.6,210,19640
1963,1248.3,1248.3,497.5,412.8,337.9,183,19630
1962,1162.2,1162.2,453.1,363.9,345.1,175,19620
1961,1232.3,1232.3,441.1,393.5,397.7,187,19610
1960,1470.1,1470.1,340.7,652.6,476.8,220,19600
1959,1447.5,1447.5,383.8,616.8,446.9,217,19590
1958,1312.3,1312.3,445.9,483.6,382.8,201,19580
1957,1071.4,1071.4,430.0,316.6,324.8,168,19570
1956,1030.7,1030.7,443.9,280.4,306.4,166,19560
1955,911.6,911.6,421.0,221.5,269.1,150,19550
1954,859.8,859.8,392.0,210.8,257.0,144,19540
1953,824.4,824.4,378.0,191.6,254.8,142,19530
1952,679.1,679.1,342.9,141.1,195.1,119,19520
